review,ord,ord_group
후미권 이끌었고 직선 순위도약 시도나 추입력 발휘안돼 고전,7,0
선행으로 경주를 주도했으나 직선막판 근소한 차이로 덜미잡혀,2,1
경주전반에 걸쳐 후미권을 벗어나지 못하고 따라가는모습,10,0
선두권을 압박하며 따라갔으나 4코너부터 격차벌어지며 고전함,6,0
경주전반에 걸쳐 후미권을 벗어나지 못하고 따라가는모습,8,0
선행마 후미를 따라가며 기회노렸으나 직선 근소한 차이로 덜미,4,0
경주전반에 걸쳐 후미권을 벗어나지 못하고 따라가는모습,11,0
초반 선입권 가담이나 2코너이후 순위밀려 직선 후미권으로,10,0
경주전반에 걸쳐 후미권을 벗어나지 못하고 따라가는모습,10,0
주행심사: 경주능력부진(1위마와 30.0 마신차),12,0
외곽에서 빠르게 선입권 공략이나 시종 강한모습을 못보여줌,6,0
출전정지 1개월: 경주능력부진(1위마와 37.3 마신 차),8,0
출발심사: 진입불량,5,0
선두권을 압박하다 직선걸음발휘 막판 선두로 부상함,1,1
경주전반에 걸쳐 후미권을 벗어나지 못하고 따라가는 모습,9,0
과천시장배)출발부터 밀렸고 직선에서도 추격 허용하며 밀림,9,0
중반이후 밀렸고 직선주로에서도 큰 변화 보이지 못함,7,0
중반이후 격차좁혔고 직선주로 탄력을 유지하며 2착선전함,2,1
"폐출혈 1회, 출주정지 1개월 및 주행심사",12,0
출발심사: 진입불량,3,0
선두권 후미따르다 4코너 선행마 후미가담이나 막판 격차못좁혀,2,1
양호한 출발로 선두권 압박전개나 직선 탄력이 떨어지며 밀려,8,0
후미권 이끌다 직선 추입력을 보여주며 올라왔으나 실패,4,0
선두권 후미를 따라가며 기회노렸으나 직선막판 격차못좁혀,3,0
후미권 이끌며 순위도약을 노렸으나 시종 강한모습없어,9,0
"폐출혈 통산 1회, 출전정지 1개월 및 주행재검",12,0
선행으로 경주를 주도했고 시종 선두를 유지하며 우승성공,1,1
선입권 전개하다 직선막판 선두마 덜미잡고 우승성공,1,1
선행으로 경주를 주도했고 시종 선두를 유지하며 막판 버티기,1,1
중위권 전개하며 순위도약 시도나 시종 여의치않은모습,9,0
선행마 후미따르며 각축전개하다 직선 선행마 덜미잡고 우승,1,1
선행성공이나 3코너 선두내주고 직선지치며 후미로 처짐,10,0
